Lon,Lat,Depth
-112.89638967,38.5040214696,1650.0249
-112.896389532,38.5040215542,1642.4049
-112.896389154,38.5040218075,1634.7849
-112.896388709,38.5040221443,1627.1649
-112.896388435,38.5040223685,1619.5449
-112.896388046,38.50402221,1611.9249
-112.89638727,38.5040219205,1604.3049
-112.896386291,38.5040219363,1596.6849
-112.896385529,38.5040221958,1589.067948
-112.896385117,38.5040224497,1581.447948
-112.896384873,38.5040225086,1573.827948
-112.896384484,38.5040223226,1566.207948
-112.896383848,38.5040220583,1558.587948
-112.896382933,38.5040218259,1550.967948
-112.896381814,38.5040218166,1543.347948
-112.896380702,38.5040220543,1535.727948
-112.8963798,38.5040223161,1528.107948
-112.896379104,38.5040224098,1520.490996
-112.896378508,38.504022337,1512.870996
-112.896377802,38.5040221013,1505.250996
-112.896376746,38.5040217888,1497.630996
-112.896375274,38.5040216479,1490.010996
-112.896373635,38.5040218117,1482.394044
-112.896372176,38.5040221375,1474.774044
-112.896370856,38.504022461,1467.154044
-112.896369531,38.5040225923,1459.537092
-112.896368133,38.5040225875,1451.917092
-112.896366276,38.5040224253,1444.30014
-112.896363936,38.5040224632,1436.683188
-112.896361671,38.5040227471,1429.063188
-112.896359583,38.504023083,1421.446236
-112.896357526,38.5040232811,1413.829284
-112.896355536,38.5040233683,1406.209284
-112.896353576,38.5040232627,1398.592332
-112.896351195,38.504023109,1390.97538
-112.896348503,38.5040230702,1383.358428
-112.896345745,38.5040232248,1375.744524
-112.896343025,38.5040234611,1368.127572
-112.896340413,38.5040238055,1360.51062
-112.896337903,38.5040240659,1352.893668
-112.896335393,38.5040242988,1345.276716
-112.896332844,38.5040244225,1337.659764
-112.896330188,38.5040244106,1330.042812
-112.89632704,38.5040243517,1322.428908
-112.896323828,38.5040244861,1314.815004
-112.896320936,38.5040248076,1307.198052
-112.896318177,38.5040249073,1299.5811
-112.896315203,38.5040247906,1291.967196
-112.896312263,38.504024646,1284.350244
-112.896309922,38.5040246839,1276.733292
-112.896308562,38.5040247883,1269.113292
-112.896307827,38.5040247728,1261.493292
-112.896307373,38.5040247801,1253.873292
-112.896307127,38.5040247017,1246.253292
-112.896306877,38.5040245135,1238.633292
-112.896306348,38.5040243298,1231.01634
-112.896305545,38.5040243703,1223.39634
-112.896304783,38.5040246298,1215.77634
-112.896304268,38.5040249952,1208.15634
-112.89630417,38.504025244,1200.53634
-112.89630389,38.5040252211,1192.91634
-112.896303157,38.5040252604,1185.29634
-112.896302639,38.504025516,1177.67634
-112.896302325,38.5040255485,1170.05634
-112.896301623,38.5040254226,1162.43634
-112.896300611,38.5040254939,1154.81634
-112.896299743,38.5040257002,1147.19634
-112.896298978,38.5040258499,1139.579388
-112.89629814,38.504025891,1131.959388
-112.896297122,38.5040257427,1124.339388
-112.896295887,38.5040252958,1116.719388
-112.896294304,38.5040249094,1109.102436
-112.8962929,38.5040246575,1101.482436
-112.896291456,38.5040242414,1093.862436
-112.89629001,38.5040237705,1086.245484
-112.896288701,38.50402316,1078.625484
-112.896287283,38.5040223865,1071.008532
-112.896286142,38.504021526,1063.388532
-112.896285418,38.5040205765,1055.768532
-112.896285217,38.504019591,1048.15158
-112.896285542,38.5040186519,1040.53158
-112.896285936,38.5040176842,1032.91158
-112.896286545,38.5040169328,1025.29158
-112.89628768,38.5040162277,1017.674628
-112.896288842,38.5040151927,1010.054628
-112.896289652,38.5040141084,1002.437676
-112.8962904,38.5040133273,994.817676
-112.896291221,38.5040126273,987.197676
-112.896291932,38.5040117644,979.577676
-112.896292365,38.5040109334,971.960724
-112.896292516,38.5040100246,964.340724
-112.89629277,38.5040090592,956.720724
-112.896293375,38.504008143,949.100724
-112.896294082,38.5040071153,941.483772
-112.896294853,38.5040058394,933.863772
-112.896295312,38.5040046785,926.24682
-112.896295637,38.5040037668,918.62682
-112.896296383,38.5040028759,911.00682
-112.896297332,38.5040017619,903.389868
-112.896297964,38.5040005157,895.769868
-112.896298458,38.5039993816,888.152916
-112.896298916,38.5039981931,880.532916
-112.896299309,38.5039971706,872.912916
-112.896299985,38.5039962807,865.295964
-112.896300653,38.5039951163,857.675964
-112.896301321,38.5039939245,850.059012
-112.896302238,38.5039929209,842.439012
-112.896303654,38.5039922388,834.819012
-112.89630553,38.5039918239,827.20206
-112.896307548,38.5039914616,819.585108
-112.896309703,38.5039910147,811.968156
-112.896311613,38.5039905169,804.348156
-112.896313105,38.5039901082,796.731204
-112.896314536,38.5039900575,789.111204
-112.896316046,38.5039903077,781.491204
-112.896317696,38.5039905831,773.874252
-112.896319416,38.5039908574,766.254252
-112.896321028,38.5039910235,758.6373
-112.896322288,38.5039910855,751.0173
-112.896323345,38.503991398,743.3973
-112.89632465,38.5039918438,735.780348
-112.896325844,38.5039920716,728.160348
-112.89632676,38.5039923589,720.540348
-112.896327886,38.5039926153,712.920348
-112.896328939,38.5039927905,705.300348
-112.896329824,38.5039932431,697.683396
-112.896330848,38.503993611,690.063396
-112.896331801,38.5039939801,682.443396
-112.896332761,38.5039945963,674.823396
-112.896333748,38.5039949099,667.203396
-112.896334491,38.5039952549,659.586444
-112.896335064,38.5039957675,651.966444
-112.896335462,38.5039962829,644.346444
-112.896335895,38.5039967977,636.726444
-112.896336255,38.5039972038,629.106444
-112.896336333,38.5039975322,621.486444
-112.896336095,38.5039977832,613.866444
-112.896335502,38.5039978203,606.246444
-112.8963348,38.5039976943,598.626444
-112.896333816,38.503997518,591.006444
-112.896332762,38.5039973153,583.389492
-112.896331637,38.5039970589,575.769492
-112.896330411,38.5039969414,568.149492
-112.896329225,38.503997043,560.529492
-112.896328003,38.5039970903,552.909492
-112.896327124,38.5039969123,545.29254
-112.896326207,38.5039965975,537.67254
-112.896325151,38.5039962851,530.05254
-112.896324132,38.5039960819,522.43254
-112.89632301,38.5039959627,514.81254
-112.896321996,38.5039959517,507.195588
-112.896321122,38.5039959383,499.575588
-112.896320282,38.503995897,491.955588
-112.896319197,38.5039958322,484.335588
-112.896318144,38.503995657,476.715588
-112.896317127,38.5039955361,469.095588
-112.89631597,38.5039954175,461.478636
-112.896314568,38.503995248,453.858636
-112.896313133,38.5039951888,446.238636
-112.89631191,38.5039951812,438.621684
-112.896310475,38.503995122,431.001684
-112.896309075,38.5039950623,423.381684
-112.896308056,38.5039948316,415.761684
-112.896306928,38.5039944654,408.144732
-112.896305976,38.5039941512,400.524732
-112.896305377,38.5039939687,392.904732
-112.896304428,38.5039937918,385.284732
-112.896303484,38.5039937796,377.664732
-112.896302818,38.503993708,370.044732
-112.896302219,38.5039935254,362.424732
-112.896301411,38.5039933737,354.804732
-112.896300458,38.5039930046,347.18778
-112.896299611,38.5039926888,339.56778
-112.896298871,38.5039924536,331.94778
-112.896297956,38.5039922212,324.32778
-112.896296972,38.5039920174,316.70778
-112.896296061,38.5039919498,309.08778
-112.89629519,38.5039920463,301.46778
-112.896294215,38.5039921994,293.850828
-112.896292859,38.5039924686,286.230828
-112.896291499,38.503992573,278.610828
-112.896290281,38.503992785,270.993876
-112.896289062,38.503992942,263.373876
-112.896287729,38.5039927714,255.753876
-112.896286047,38.5039926064,248.136924
-112.896284369,38.5039926061,240.516924
-112.896282794,38.5039924943,232.896924
-112.89628114,38.5039920816,225.279972
-112.896279269,38.5039913703,217.66302
-112.896277076,38.5039903896,210.046068
-112.896274423,38.5039891692,202.429116
-112.896271448,38.5039877068,194.815212
-112.896268261,38.5039861105,187.204356
-112.896265035,38.5039844049,179.590452
-112.896261944,38.5039825049,171.979596
-112.896258711,38.5039804974,164.365692
-112.896255655,38.5039785968,156.754836
-112.896253822,38.503976649,149.140932
-112.896252441,38.5039746389,141.52398
-112.896251029,38.5039727941,133.907028
-112.896250037,38.5039709425,126.290076
-112.896249474,38.5039694685,118.673124
-112.896248994,38.5039684875,111.053124
-112.896248581,38.503967423,103.436172
-112.896248344,38.5039663832,95.816172
-112.89624787,38.5039656218,88.196172
-112.896247154,38.5039649743,80.576172
-112.89624612,38.5039641945,72.95922
-112.89624445,38.5039631504,65.33922
-112.896242496,38.5039619461,57.722268
-112.89624061,38.5039606583,50.105316
-112.896238643,38.5039589873,42.491412
-112.896236703,38.5039569588,34.87446
-112.896235325,38.503955086,27.260556
-112.896234722,38.5039534204,19.640556
-112.896234863,38.5039520998,12.023604
-112.896235746,38.5039511242,4.403604
-112.896237153,38.5039501401,-3.213348
-112.896238629,38.5039490999,-10.8303
-112.896239695,38.503948451,-18.4503
-112.896239999,38.5039480341,-26.0703
-112.896239067,38.5039471702,-33.6903
-112.896236403,38.503945538,-41.304204
-112.896231375,38.5039430651,-48.905916
-112.896223942,38.5039395326,-56.486292
-112.896214767,38.5039348747,-64.04838
-112.896204126,38.5039289223,-71.583036
-112.896191905,38.5039214299,-79.081116
-112.896178175,38.5039123414,-86.536524
-112.89616365,38.5039022496,-93.967548
-112.896148844,38.5038921075,-101.392476
-112.896133759,38.5038819973,-108.814356
-112.89611818,38.5038717303,-116.224044
-112.896102038,38.5038613076,-123.62154
-112.896084838,38.5038505176,-130.9977
-112.896066052,38.5038392039,-138.331188
-112.896045398,38.5038273437,-145.618956
-112.896022563,38.5038149145,-152.842716
-112.895996986,38.5038018981,-159.98418
-112.895969306,38.5037886685,-167.058588
-112.895940338,38.5037756246,-174.102516
-112.895910054,38.5037630689,-181.109868
-112.895878146,38.5037511986,-188.080644
-112.895844887,38.5037398172,-195.014844
-112.895810689,38.5037285882,-201.912468
-112.895775549,38.5037174295,-208.779612
-112.895739674,38.5037062551,-215.616276
-112.895703204,38.503695008,-222.425508
-112.895665993,38.5036835257,-229.201212
-112.895627727,38.5036718132,-235.928148
-112.895588408,38.5036598981,-242.60022
-112.895547851,38.5036474537,-249.208284
-112.895505847,38.5036344559,-255.731004
-112.895462151,38.5036209088,-262.156188
-112.895416834,38.503606866,-268.480788
-112.895370001,38.5035922984,-274.707852
-112.89532161,38.5035770145,-280.819092
-112.895272049,38.5035610628,-286.838892
-112.895221662,38.5035442731,-292.779444
-112.895170792,38.5035263925,-298.646844
-112.895118876,38.5035072655,-304.395372
-112.895065457,38.5034868443,-309.982356
-112.895010859,38.5034653986,-315.43218
-112.894955164,38.5034434487,-320.775324
-112.894898314,38.5034214351,-326.020932
-112.894840597,38.5033997102,-331.20558
-112.894782382,38.5033789546,-336.399372
-112.894723712,38.5033595247,-341.617548
-112.894664299,38.5033410681,-346.814388
-112.89460381,38.5033229309,-351.928932
-112.894542091,38.5033045115,-356.921556
-112.894478615,38.503285736,-361.722156
-112.894412567,38.5032674965,-366.278916
-112.894343694,38.5032508407,-370.588788
-112.89432696,38.503247129,-371.573292
-112.894271996,38.5032357412,-374.599956
-112.894252921,38.5032320673,-375.587508
-112.894197818,38.5032220276,-378.324612
-112.89412227,38.5032094072,-381.890772
-112.894045864,38.5031973774,-385.335012
-112.89396886,38.50318522,-388.666476
-112.893890903,38.5031726659,-391.805916
-112.893811927,38.503159936,-394.750284
-112.893732672,38.503147238,-397.624548
-112.893653279,38.5031345972,-400.480524
-112.893573957,38.5031219826,-403.345644
-112.893494629,38.5031091483,-406.204668
-112.893415369,38.5030962305,-409.069788
-112.893336008,38.5030835065,-411.928812
-112.893256619,38.5030709751,-414.784788
-112.893177374,38.5030586611,-417.686484
-112.893098486,38.503046616,-420.673524
-112.893020015,38.5030344541,-423.74286
-112.892941952,38.5030218737,-426.860964
-112.892863776,38.5030089654,-429.94554
-112.892785182,38.5029961188,-432.956964
-112.892706526,38.5029836027,-435.962292
-112.892627875,38.5029712512,-438.988956
-112.892549466,38.502958786,-442.0461
-112.89247129,38.5029458774,-445.133724
-112.892393483,38.5029323861,-448.254876
-112.89231598,38.5029184778,-451.4187
-112.892238615,38.5029045398,-454.60386
-112.892161157,38.5028909878,-457.782924
-112.892083425,38.5028776873,-460.931508
-112.892005721,38.5028641391,-464.077044
-112.891928077,38.5028501779,-467.20734
-112.891850216,38.5028359455,-470.279724
-112.891771967,38.502821582,-473.27286
-112.891693438,38.5028071955,-476.201988
-112.891614208,38.5027927654,-478.981764
-112.891534318,38.5027784557,-481.62438
-112.891454052,38.5027644816,-484.202988
-112.891373408,38.5027507333,-486.702348
-112.89129291,38.5027372298,-489.256572
-112.891212973,38.5027237996,-491.947956
-112.891133627,38.5027102773,-494.758212
-112.891054736,38.5026967202,-497.659908
-112.890976163,38.5026833227,-500.646948
-112.890898193,38.5026702724,-503.762004
-112.890820651,38.5026575174,-506.974596
-112.890743322,38.5026449236,-510.22986
-112.890666209,38.502632546,-513.539988
-112.890589346,38.502620384,-516.901932
-112.890512627,38.502608357,-520.291308
-112.890436258,38.5025963517,-523.741644
-112.890360238,38.5025843682,-527.25294
-112.89028373,38.5025723926,-530.684988
-112.890206455,38.5025604842,-533.982924
-112.890128618,38.5025485025,-537.177228
-112.890050636,38.5025363033,-540.331908
-112.889972644,38.5025237197,-543.471348
-112.889894567,38.5025105606,-546.56202
-112.889816725,38.5024970132,-549.674028
-112.889739573,38.5024831525,-552.90186
-112.889663214,38.5024688669,-556.248564
-112.889587335,38.5024542165,-559.650132
-112.889511907,38.5024394215,-563.1279
-112.889437004,38.5024246453,-566.691012
-112.889362976,38.5024099374,-570.394332
-112.889289546,38.5023953846,-574.19214
-112.889216051,38.5023809976,-577.9869
-112.889142525,38.5023667759,-581.790804
-112.889068796,38.5023527771,-585.570324
-112.888994825,38.5023389195,-589.319364
-112.888920785,38.5023250629,-593.062308
-112.888846603,38.5023111537,-596.77782
-112.888772001,38.5022972237,-600.429324
-112.888696877,38.5022833296,-604.00158
-112.888621301,38.50226958,-607.503732
-112.888545276,38.5022560024,-610.938828
-112.888468624,38.5022425173,-614.279436
-112.888391594,38.5022292854,-617.559084
-112.888314922,38.5022163773,-620.914932
-112.888238466,38.5022036853,-624.325644
-112.888161806,38.5021912164,-627.705876
-112.888085185,38.5021789115,-631.101348
-112.888008568,38.5021667713,-634.509012
-112.887932268,38.5021547084,-637.965444
-112.887856318,38.5021426398,-641.488932
-112.88778068,38.5021305111,-645.055092
-112.887705215,38.5021182973,-648.648684
-112.887629817,38.5021059724,-652.239228
-112.887554347,38.5020935937,-655.826724
-112.88747888,38.5020812698,-659.41422
-112.887403412,38.5020689734,-663.001716
-112.887328085,38.5020566747,-666.6075
-112.887252929,38.5020442358,-670.243764
-112.887178083,38.5020316271,-673.913556
-112.887103546,38.5020188211,-677.62602
-112.887029114,38.5020060133,-681.353724
-112.886954714,38.5019930677,-685.075332
-112.886880553,38.5019799259,-688.833516
-112.886806736,38.5019665588,-692.628276
-112.88673267,38.5019530308,-696.380364
-112.88665794,38.5019395135,-700.02882
-112.886582654,38.501926115,-703.59498
-112.886506848,38.5019128622,-707.087988
-112.886430625,38.5018997258,-710.51394
-112.886353953,38.501886789,-713.869788
-112.886276695,38.5018741361,-717.137244
-112.88619892,38.5018617937,-720.325452
-112.88612073,38.5018495952,-723.443556
-112.886042189,38.5018373749,-726.491556
-112.885963464,38.501824773,-729.481644
-112.885884856,38.5018112902,-732.453444
-112.885806542,38.5017970336,-735.43134
-112.885728287,38.5017823365,-738.40314
-112.885650207,38.5017676915,-741.411516
-112.885572939,38.501753308,-744.584484
-112.885496269,38.5017390797,-747.879372
-112.8854196,38.5017249062,-751.177308
-112.885342828,38.5017108167,-754.463052
-112.885265544,38.5016971474,-757.672596
-112.885187542,38.5016841213,-760.781556
-112.885109131,38.5016714863,-763.835652
-112.885030655,38.5016590445,-766.8867
-112.884952183,38.5016467673,-769.943844
-112.884873605,38.5016344095,-772.9827
-112.884794847,38.5016218897,-775.972788
-112.884715951,38.501609427,-778.938492
-112.884637022,38.5015970197,-781.895052
-112.884558089,38.5015844476,-784.845516
-112.884479294,38.5015718458,-787.829508
-112.884400781,38.5015593218,-790.868364
-112.884322378,38.5015469882,-793.931604
-112.884243814,38.5015351515,-796.997892
-112.884165013,38.5015236482,-800.030652
-112.884086002,38.5015121208,-803.014644
-112.884007033,38.5015008672,-806.029116
-112.883928284,38.5014900221,-809.098452
-112.88384979,38.5014795573,-812.231796
-112.883771587,38.5014694998,-815.438292
-112.883693602,38.5014597958,-818.7027
-112.883615797,38.501450281,-822.006732
-112.883538341,38.5014407606,-825.36258
-112.883460779,38.5014311595,-828.703188
-112.883382904,38.5014216458,-831.995028
-112.883304861,38.5014123819,-835.259436
-112.883252001,38.5014051573,-837.481428
-112.882959754,38.5013587993,-850.215972
-112.882670624,38.5013073367,-863.243124
-112.882640061,38.5013013738,-864.633012
-112.882573708,38.5012886804,-867.613956
-112.882377373,38.5012532756,-876.120924
-112.882083699,38.5012030931,-888.413508
-112.881885182,38.5011711282,-896.67054
-112.881621159,38.501130795,-907.661628
